PK,ID,InputID,ParticleID,SigmaV,Temperature,ScaleFactorID
455,ed2749c7-3a45-494d-b20e-dc21a47cf3a7,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.44293663412724e-27,17337728.0307085,efd9f3be-346f-45f6-8c63-7e09412a4b4e
460,7e8b0268-365c-47dc-8d05-a08a1b066f3b,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,4.40138963995821e-27,15122709.3385768,2d2853db-18e5-4251-a0c4-c78f75af93c2
465,a8408042-3711-4ac2-8e44-707bd78069dd,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,8.33295017217995e-27,12996712.6159416,3c0f0c17-992b-4f1f-af0c-373ce504a8a7
470,31571485-65b4-41be-a60d-029270f939fc,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.50265311046579e-26,11253417.9254122,2e8cc50c-4c16-4a48-8460-1ae6591074c9
475,b372f9a8-5b91-4780-823e-b45569b37187,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.11488509194501e-26,9901781.25471793,b62ccc77-73ff-4f0d-8097-e08d98a66d20
480,c884ee8f-1c8e-4e53-8ccc-ac50d8297965,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,4.71235704636876e-26,8498956.28892403,16389087-87fa-4a58-b64b-96f21940ab26
485,d003becf-b68e-4e6d-8591-e8f6396cb00a,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,8.63657371211537e-26,7319761.16056975,0d625b14-c5e0-4666-8cfe-84a766191b15
490,23b7d0aa-de03-4c0d-ba1d-e431b89c04e6,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.21543958829003e-25,6424071.45009269,5df45bb8-770f-4c76-acf7-4ff0c98a10ec
495,e11b2ead-3fa8-4e54-b1d1-b34ce343b16d,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.12673546235487e-25,5810664.49858719,812df058-9e31-4347-b53a-1f854c1b067a
500,4708778d-1ead-4f3c-a0f2-fa3216c46bc7,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.50365552645403e-25,5117581.14684584,1f0845cf-b85b-4769-a71c-9b0761980a96
505,dc3e5ef8-c9da-4d06-ba7d-ba92a4d2ffd9,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,4.95255027236699e-25,4539742.4490757,6199a416-d59e-4229-9a77-e95e45172a33
510,b58ed362-9fc7-4516-9b5b-7256719fd78d,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,8.5978267073668e-25,4044404.63586402,9c84c9dd-d24b-4f32-8d75-20dd506042a8
515,1836b463-28b4-48fb-97cb-4cf28cc977f0,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.28177404993902e-24,3653094.45647276,42a50480-95c7-424a-9318-1a350596d5a0
520,1e86f15d-e62b-4f31-869d-88e96142cd9a,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.29378240518619e-24,3225127.25279697,862b6fdc-3041-4ef4-ae19-3020fa18b75f
525,8b1606e0-121a-4e84-826a-c27f769f3336,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.14814185369622e-24,2884283.84533835,e432d6c4-aea6-4ccf-a572-c8fdcad5c253
530,63f39887-6b1b-447b-9ee5-dc4a682011ca,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,5.2931088121332e-24,2605857.88343489,7c946948-4ddf-4efc-8f3c-ee82b73d540d
